report_start_date,report_end_date,count,sum(update_used_volume),rating_group
01/04/2026,30/04/2026,431132,0,
01/04/2026,30/04/2026,5722790,989416.0000000000000000,500001
01/04/2026,30/04/2026,19880213,1086024039543.0000000000000000,500002
01/04/2026,30/04/2026,200169,1603033992447.0000000000000000,500003
01/04/2026,30/04/2026,6002,149911242.0000000000000000,500004
01/04/2026,30/04/2026,5201524,389365096033103.0000000000000000,500006
01/04/2026,30/04/2026,19184919,771423749429463.0000000000000000,500008
01/04/2026,30/04/2026,3160568,183520502344432.0000000000000000,500010
01/04/2026,30/04/2026,2,303941053.0000000000000000,500014
01/04/2026,30/04/2026,2783107,105701871293170.0000000000000000,500015
01/04/2026,30/04/2026,8241,839864897431.0000000000000000,500016
01/04/2026,30/04/2026,1618,91986262495.0000000000000000,500017
01/04/2026,30/04/2026,105073,1648998168.0000000000000000,500018
01/04/2026,30/04/2026,637317,28039034.0000000000000000,OFFNET
01/04/2026,30/04/2026,154165,6830890.0000000000000000,ONNET
01/04/2026,30/04/2026,1360298,15271.0000000000000000,SM
