Service Type,Charge Type,SMS Type,No. of SMS
SMS,Commercial A2P SMS MT,Commercial A2P," 16,168 "
SMS,Non-Profit A2P SMS MT Bundled,"Non Profit A2P (22200,22288,22200EASTEL,601170337777)"," 37,314 "
