Service Type,Charge Type,Country,No. of SMS
SMS Roaming,MO,China-ChinaMobile,13
SMS Roaming,MO,China-Unicom,16
SMS Roaming,MO,Singapore-Starhub,6
SMS Roaming,MO,UK-H3G,2
