roaming_destination_id,service_provider,country,roaming_destination_name,mcc,remarks,created_at,updated_at
567,uMobile,Sweden,Sweden: Telenor,240,N/A,21/03/2026 19:46,21/03/2026 19:46
568,uMobile,Switzerland,Switzerland: Salt / Orange Communications SA,228,N/A,21/03/2026 19:46,21/03/2026 19:46
569,uMobile,Switzerland,Switzerland: Sunrise,228,N/A,21/03/2026 19:46,21/03/2026 19:46
570,uMobile,Timor-Leste,Timor-Leste: Telemor,504,N/A,21/03/2026 19:46,21/03/2026 19:46
571,uMobile,UAE,UAE: E&,424,N/A,21/03/2026 19:46,21/03/2026 19:46
572,uMobile,UK,UK: O2,234,N/A,21/03/2026 19:46,21/03/2026 19:46
573,uMobile,Ukraine,Ukraine: Lifecell / Astelit,255,N/A,21/03/2026 19:46,21/03/2026 19:46
574,uMobile,Ukraine,Ukraine: Vodafone,255,N/A,21/03/2026 19:46,21/03/2026 19:46
575,uMobile,Uzbekistan,Uzbekistan: Uzbektelecom,434,N/A,21/03/2026 19:46,21/03/2026 19:46
576,uMobile,Venezuela,Venezuela: Telefonica Latam,734,N/A,21/03/2026 19:46,21/03/2026 19:46
577,uMobile,Vitenam,Vietnam: Viettel,452,N/A,21/03/2026 19:46,21/03/2026 19:46
